central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
1.713450,1.726697,0.055708,0.095349,2.359912,0.000000,1.000000,0.000013300
1.617390,1.822046,0.055708,0.095349,2.359912,0.000000,1.000000,0.000013300
1.521330,1.917394,0.055708,0.095349,2.359912,0.000000,1.000000,0.000013300
1.425270,2.012743,0.055708,0.095349,2.359912,0.000000,1.000000,0.000013300
1.103246,2.078117,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.189395,2.078432,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.275545,2.078748,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.361694,2.079063,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
0.921549,1.920234,0.050469,0.091993,0.780834,0.000000,1.000000,0.000013300
1.014385,2.012226,0.050469,0.091993,0.780834,0.000000,1.000000,0.000013300
0.348805,1.330696,0.034943,0.067124,0.779824,0.000000,1.000000,0.000013300
0.416682,1.397820,0.034943,0.067124,0.779824,0.000000,1.000000,0.000013300
0.484559,1.464944,0.034943,0.067124,0.779824,0.000000,1.000000,0.000013300
0.548706,1.545472,0.053900,0.093932,0.788641,0.000000,1.000000,0.000013300
0.642031,1.639404,0.053900,0.093932,0.788641,0.000000,1.000000,0.000013300
0.735357,1.733336,0.053900,0.093932,0.788641,0.000000,1.000000,0.000013300
0.828682,1.827268,0.053900,0.093932,0.788641,0.000000,1.000000,0.000013300
1.424879,-2.016979,0.055294,0.095999,0.788980,0.000000,1.000000,0.000013300
1.520193,-1.920980,0.055294,0.095999,0.788980,0.000000,1.000000,0.000013300
1.615507,-1.824980,0.055294,0.095999,0.788980,0.000000,1.000000,0.000013300
1.710821,-1.728981,0.055294,0.095999,0.788980,0.000000,1.000000,0.000013300
1.103386,-2.084683,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.189535,-2.084368,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.275685,-2.084052,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.361834,-2.083737,0.086149,0.037200,0.000000,0.003663,1.000000,0.000013300
1.015862,-2.020619,0.050575,0.091038,2.364398,0.000000,1.000000,0.000013300
0.923318,-1.929581,0.050575,0.091038,2.364398,0.000000,1.000000,0.000013300
0.484990,-1.476235,0.035000,0.066875,2.365427,0.000000,1.000000,0.000013300
0.416868,-1.409360,0.035000,0.066875,2.365427,0.000000,1.000000,0.000013300
0.348746,-1.342485,0.035000,0.066875,2.365427,0.000000,1.000000,0.000013300
0.830418,-1.837261,0.054000,0.093594,2.356613,0.000000,1.000000,0.000013300
0.736746,-1.743667,0.054000,0.093594,2.356613,0.000000,1.000000,0.000013300
0.643074,-1.650073,0.054000,0.093594,2.356613,0.000000,1.000000,0.000013300
0.549402,-1.556479,0.054000,0.093594,2.356613,0.000000,1.000000,0.000013300
