central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.928924,1.583479,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
0.975962,1.581568,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.023000,1.579658,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.070038,1.577747,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.117076,1.575837,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.164113,1.573926,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.211151,1.572015,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.258189,1.570105,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.305227,1.568194,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.352264,1.566283,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.399302,1.564373,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.446340,1.562462,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.493378,1.560552,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.540416,1.558641,0.047038,0.013000,0.000000,3.100996,1.000000,0.000013300
1.183084,1.033221,0.035000,0.048036,2.359039,0.000000,1.000000,0.000013300
1.134774,1.081257,0.035000,0.048036,2.359039,0.000000,1.000000,0.000013300
1.086465,1.129292,0.035000,0.048036,2.359039,0.000000,1.000000,0.000013300
1.038155,1.177328,0.035000,0.048036,2.359039,0.000000,1.000000,0.000013300
0.989846,1.225363,0.035000,0.048036,2.359039,0.000000,1.000000,0.000013300
0.941536,1.273399,0.035000,0.048036,2.359039,0.000000,1.000000,0.000013300
0.844765,1.515220,0.027000,0.031500,1.101413,0.000000,1.000000,0.000013300
0.860741,1.546720,0.027000,0.031500,1.101413,0.000000,1.000000,0.000013300
0.861819,1.376035,0.030000,0.042250,1.926966,0.000000,1.000000,0.000013300
0.846101,1.418285,0.030000,0.042250,1.926966,0.000000,1.000000,0.000013300
0.879650,1.573720,0.016500,0.022500,0.603818,0.000000,1.000000,0.000013300
0.903666,1.311785,0.033000,0.028750,2.212327,0.000000,1.000000,0.000013300
0.882192,1.340535,0.033000,0.028750,2.212327,0.000000,1.000000,0.000013300
0.836753,1.454426,0.027500,0.030029,0.000000,0.000000,1.000000,0.000013300
0.836753,1.484454,0.027500,0.030029,0.000000,0.000000,1.000000,0.000013300
0.928924,-1.588078,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
0.975962,-1.586167,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.023000,-1.584257,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.070038,-1.582346,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.117076,-1.580436,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.164113,-1.578526,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.211151,-1.576615,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.258189,-1.574705,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.305227,-1.572794,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.352264,-1.570884,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.399302,-1.568974,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.446340,-1.567063,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.493378,-1.565153,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
1.540416,-1.563242,0.047038,0.013000,0.000000,0.040592,1.000000,0.000013300
0.941848,-1.277999,0.035000,0.048036,0.782808,0.000000,1.000000,0.000013300
0.990133,-1.229963,0.035000,0.048036,0.782808,0.000000,1.000000,0.000013300
1.038418,-1.181928,0.035000,0.048036,0.782808,0.000000,1.000000,0.000013300
1.086702,-1.133892,0.035000,0.048036,0.782808,0.000000,1.000000,0.000013300
1.134987,-1.085857,0.035000,0.048036,0.782808,0.000000,1.000000,0.000013300
1.183272,-1.037821,0.035000,0.048036,0.782808,0.000000,1.000000,0.000013300
0.860741,-1.551320,0.027000,0.031500,2.040185,0.000000,1.000000,0.000013300
0.844765,-1.519820,0.027000,0.031500,2.040185,0.000000,1.000000,0.000013300
0.846101,-1.422885,0.030000,0.042250,1.214636,0.000000,1.000000,0.000013300
0.861819,-1.380635,0.030000,0.042250,1.214636,0.000000,1.000000,0.000013300
0.879650,-1.578320,0.016500,0.022500,2.537779,0.000000,1.000000,0.000013300
0.882192,-1.345135,0.033000,0.028750,0.929269,0.000000,1.000000,0.000013300
0.903666,-1.316385,0.033000,0.028750,0.929269,0.000000,1.000000,0.000013300
0.836753,-1.489054,0.027500,0.030029,0.000000,0.000000,1.000000,0.000013300
0.836753,-1.459026,0.027500,0.030029,0.000000,0.000000,1.000000,0.000013300
