central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
1.270550,-0.982820,0.002000,0.076000,0.000000,0.000000,1.000000,0.000001100
1.290050,-0.911820,0.002000,0.066000,1.059846,0.000000,1.000000,0.000001100
1.297050,-1.020000,0.051000,0.002000,0.000000,0.000000,1.000000,0.000001100
1.348050,-1.020000,0.051000,0.002000,0.000000,0.000000,1.000000,0.000001100
1.341050,-0.877820,0.065000,0.002000,0.000000,0.000000,1.000000,0.000001100
1.372550,-0.983820,0.002000,0.070000,0.000000,0.000000,1.000000,0.000001100
1.372550,-0.913820,0.002000,0.070000,0.000000,0.000000,1.000000,0.000001100
1.270550,0.977515,0.002000,0.076000,0.000000,0.000000,1.000000,0.000001100
1.290050,0.906515,0.002000,0.066000,2.081741,0.000000,1.000000,0.000001100
1.297050,1.014510,0.051000,0.002000,0.000000,0.000000,1.000000,0.000001100
1.348050,1.014510,0.051000,0.002000,0.000000,0.000000,1.000000,0.000001100
1.341050,0.872515,0.065000,0.002000,0.000000,0.000000,1.000000,0.000001100
1.372550,0.908515,0.002000,0.070000,0.000000,0.000000,1.000000,0.000001100
1.372550,0.978515,0.002000,0.070000,0.000000,0.000000,1.000000,0.000001100
