R,Z,dR,dZ
234.5,1029,11,18
248.5,1029,11,18
234.5,1048,11,18
248.5,1048,11,18
234.5,1067,11,18
248.5,1067,11,18
234.5,1086,11,18
248.5,1086,11,18
234.5,1105,11,18
248.5,1105,11,18
234.5,1124,11,18
248.5,1124,11,18
234.5,1143,11,18
248.5,1143,11,18
234.5,1162,11,18
248.5,1162,11,18
234.5,1181,11,18
248.5,1181,11,18
234.5,1200,11,18
248.5,1200,11,18
234.5,1219,11,18
248.5,1219,11,18
234.5,1238,11,18
248.5,1238,11,18
234.5,1257,11,18
248.5,1257,11,18
234.5,1276,11,18
248.5,1276,11,18
234.5,1295,11,18
248.5,1295,11,18
234.5,1314,11,18
248.5,1314,11,18
234.5,1333,11,18
248.5,1333,11,18
234.5,1352,11,18
248.5,1352,11,18
234.5,1371,11,18
248.5,1371,11,18
234.5,1390,11,18
248.5,1390,11,18
234.5,1409,11,18
248.5,1409,11,18
234.5,1428,11,18
248.5,1428,11,18
