R,Z,dR,dZ
352.75,1541.75,12.7,12.7
367.45,1541.75,12.7,12.7
382.15,1541.75,12.7,12.7
396.85,1541.75,12.7,12.7
411.55,1541.75,12.7,12.7
426.25,1541.75,12.7,12.7
352.75,1556.45,12.7,12.7
367.45,1556.45,12.7,12.7
382.15,1556.45,12.7,12.7
396.85,1556.45,12.7,12.7
411.55,1556.45,12.7,12.7
426.25,1556.45,12.7,12.7
352.75,1571.15,12.7,12.7
367.45,1571.15,12.7,12.7
382.15,1571.15,12.7,12.7
396.85,1571.15,12.7,12.7
411.55,1571.15,12.7,12.7
426.25,1571.15,12.7,12.7
352.75,1585.85,12.7,12.7
367.45,1585.85,12.7,12.7
382.15,1585.85,12.7,12.7
396.85,1585.85,12.7,12.7
411.55,1585.85,12.7,12.7
426.25,1585.85,12.7,12.7
352.75,1600.55,12.7,12.7
367.45,1600.55,12.7,12.7
382.15,1600.55,12.7,12.7
396.85,1600.55,12.7,12.7
411.55,1600.55,12.7,12.7
426.25,1600.55,12.7,12.7
352.75,1615.25,12.7,12.7
367.45,1615.25,12.7,12.7
382.15,1615.25,12.7,12.7
396.85,1615.25,12.7,12.7
411.55,1615.25,12.7,12.7
