R,Z,dR,dZ
888.75,1473.95,12.7,12.7
903.45,1473.95,12.7,12.7
918.15,1473.95,12.7,12.7
932.85,1473.95,12.7,12.7
947.55,1473.95,12.7,12.7
962.25,1473.95,12.7,12.7
888.75,1488.65,12.7,12.7
903.45,1488.65,12.7,12.7
918.15,1488.65,12.7,12.7
932.85,1488.65,12.7,12.7
947.55,1488.65,12.7,12.7
962.25,1488.65,12.7,12.7
888.75,1503.35,12.7,12.7
903.45,1503.35,12.7,12.7
918.15,1503.35,12.7,12.7
932.85,1503.35,12.7,12.7
947.55,1503.35,12.7,12.7
962.25,1503.35,12.7,12.7
888.75,1518.05,12.7,12.7
903.45,1518.05,12.7,12.7
918.15,1518.05,12.7,12.7
932.85,1518.05,12.7,12.7
947.55,1518.05,12.7,12.7
