central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.235000,-0.624269,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.574808,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.525346,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.475885,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.426423,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.376962,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.327500,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.278038,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.228577,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.179115,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.129654,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.080192,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,-0.030731,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.018731,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.068192,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.117654,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.167115,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.216577,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.266038,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.315500,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.364962,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.414423,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.463885,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.513346,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.562808,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.235000,0.612269,0.012000,0.049462,0.000000,0.000000,1.000000,0.000000550
0.263470,-0.861400,0.012000,0.047200,1.699411,0.000000,1.000000,0.000000550
0.257365,-0.814200,0.012000,0.047200,1.699411,0.000000,1.000000,0.000000550
0.251261,-0.767000,0.012000,0.047200,1.699411,0.000000,1.000000,0.000000550
0.245157,-0.719800,0.012000,0.047200,1.699411,0.000000,1.000000,0.000000550
0.239052,-0.672600,0.012000,0.047200,1.699411,0.000000,1.000000,0.000000550
0.239052,0.660600,0.012000,0.047200,1.442181,0.000000,1.000000,0.000000550
0.245157,0.707800,0.012000,0.047200,1.442181,0.000000,1.000000,0.000000550
0.251261,0.755000,0.012000,0.047200,1.442181,0.000000,1.000000,0.000000550
0.257365,0.802200,0.012000,0.047200,1.442181,0.000000,1.000000,0.000000550
0.263470,0.849400,0.012000,0.047200,1.442181,0.000000,1.000000,0.000000550
0.267000,-2.156077,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-2.106231,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-2.056385,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-2.006538,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.956692,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.906846,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.857000,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.807154,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.757308,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.707462,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.657615,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.607769,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.557923,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.508077,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.458231,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.408385,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.358538,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.308692,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.258846,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.209000,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.159154,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.109308,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.059462,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-1.009615,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-0.959769,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,-0.909923,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,0.897923,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,0.947769,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,0.997615,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.047462,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.097308,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.147154,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.197000,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.246846,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.296692,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.346538,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.396385,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.446231,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.496077,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.545923,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.595769,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.645615,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.695462,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.745308,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.795154,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.845000,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.894846,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.944692,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,1.994538,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,2.044385,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,2.094231,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.267000,2.144077,0.012000,0.049846,0.000000,0.000000,1.000000,0.000000550
0.287250,-2.159750,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.287250,-2.117250,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.315750,-2.159750,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.315750,-2.117250,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.287250,2.105250,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.287250,2.147750,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.315750,2.105250,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
0.315750,2.147750,0.028500,0.042500,0.000000,0.000000,1.000000,0.000000550
