central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.314853,1.114302,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,1.154911,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,1.195520,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,1.236129,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,1.276738,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,-1.288738,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,-1.248129,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,-1.207520,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,-1.166911,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.314853,-1.126302,0.035000,0.040609,0.000000,0.000000,1.000000,0.000013300
0.297185,0.872150,0.018000,0.049300,1.444080,0.000000,1.000000,0.000013300
0.303466,0.921450,0.018000,0.049300,1.444080,0.000000,1.000000,0.000013300
0.309747,0.970750,0.018000,0.049300,1.444080,0.000000,1.000000,0.000013300
0.316028,1.020050,0.018000,0.049300,1.444080,0.000000,1.000000,0.000013300
0.322309,1.069350,0.018000,0.049300,1.444080,0.000000,1.000000,0.000013300
0.322309,-1.081350,0.018000,0.049300,1.697512,0.000000,1.000000,0.000013300
0.316028,-1.032050,0.018000,0.049300,1.697512,0.000000,1.000000,0.000013300
0.309747,-0.982750,0.018000,0.049300,1.697512,0.000000,1.000000,0.000013300
0.303466,-0.933450,0.018000,0.049300,1.697512,0.000000,1.000000,0.000013300
0.297185,-0.884150,0.018000,0.049300,1.697512,0.000000,1.000000,0.000013300
0.263225,0.588542,0.017000,0.047083,1.444045,0.000000,1.000000,0.000013300
0.269225,0.635625,0.017000,0.047083,1.444045,0.000000,1.000000,0.000013300
0.275225,0.682708,0.017000,0.047083,1.444045,0.000000,1.000000,0.000013300
0.281225,0.729792,0.017000,0.047083,1.444045,0.000000,1.000000,0.000013300
0.287225,0.776875,0.017000,0.047083,1.444045,0.000000,1.000000,0.000013300
0.293225,0.823958,0.017000,0.047083,1.444045,0.000000,1.000000,0.000013300
0.293225,-0.835958,0.017000,0.047083,1.697547,0.000000,1.000000,0.000013300
0.287225,-0.788875,0.017000,0.047083,1.697547,0.000000,1.000000,0.000013300
0.281225,-0.741792,0.017000,0.047083,1.697547,0.000000,1.000000,0.000013300
0.275225,-0.694708,0.017000,0.047083,1.697547,0.000000,1.000000,0.000013300
0.269225,-0.647625,0.017000,0.047083,1.697547,0.000000,1.000000,0.000013300
0.263225,-0.600542,0.017000,0.047083,1.697547,0.000000,1.000000,0.000013300
0.262870,-0.560000,0.011500,0.034000,1.719512,0.000000,1.000000,0.000013300
0.257776,-0.526000,0.011500,0.034000,1.719512,0.000000,1.000000,0.000013300
0.257776,0.514000,0.011500,0.034000,1.422080,0.000000,1.000000,0.000013300
0.262870,0.548000,0.011500,0.034000,1.422080,0.000000,1.000000,0.000013300
0.254993,-0.485048,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.437143,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.389238,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.341333,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.293429,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.245524,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.197619,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.149714,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.101810,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.053905,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,-0.006000,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.041905,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.089810,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.137714,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.185619,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.233524,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.281429,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.329333,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.377238,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.425143,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
0.254993,0.473048,0.011500,0.047905,0.000000,0.000000,1.000000,0.000013300
