central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
1.618480,1.969440,0.003000,0.017424,1.863453,0.000000,1.000000,0.000000550
1.613000,2.022500,0.003000,0.045000,0.000000,0.000000,1.000000,0.000000550
1.614370,1.989080,0.003000,0.021849,1.696001,0.000000,1.000000,0.000000550
1.639140,1.939330,0.003000,0.042750,2.267253,0.000000,1.000000,0.000000550
1.696490,1.916450,0.081500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.753620,1.939330,0.003000,0.042750,0.874335,0.000000,1.000000,0.000000550
1.774470,1.969480,0.003000,0.017500,1.266285,0.000000,1.000000,0.000000550
1.779990,2.022500,0.003000,0.045000,0.000000,0.000000,1.000000,0.000000550
1.778510,1.989030,0.003000,0.021750,1.445026,0.000000,1.000000,0.000000550
1.618480,-1.969440,0.003000,0.017424,1.278133,0.000000,1.000000,0.000000550
1.613000,-2.022500,0.003000,0.045000,0.000000,0.000000,1.000000,0.000000550
1.614370,-1.989080,0.003000,0.021849,1.445592,0.000000,1.000000,0.000000550
1.639140,-1.939330,0.003000,0.042750,0.874335,0.000000,1.000000,0.000000550
1.696490,-1.916450,0.081500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.753620,-1.939330,0.003000,0.042750,2.267253,0.000000,1.000000,0.000000550
1.774470,-1.969480,0.003000,0.017500,1.875304,0.000000,1.000000,0.000000550
1.779990,-2.022500,0.003000,0.045000,0.000000,0.000000,1.000000,0.000000550
1.778510,-1.989030,0.003000,0.021750,1.696566,0.000000,1.000000,0.000000550
