central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.347000,2.036500,0.030000,0.035000,0.000000,0.000000,1.000000,0.000000550
0.381942,1.820667,0.006000,0.079333,1.745286,0.000000,1.000000,0.000000550
0.367957,1.900000,0.006000,0.079333,1.745286,0.000000,1.000000,0.000000550
0.353972,1.979333,0.006000,0.079333,1.745286,0.000000,1.000000,0.000000550
0.389500,1.666250,0.006000,0.076500,0.000000,0.000000,1.000000,0.000000550
0.389500,1.742750,0.006000,0.076500,0.000000,0.000000,1.000000,0.000000550
0.347000,-2.048500,0.030000,0.035000,0.000000,0.000000,1.000000,0.000000550
0.353972,-1.991333,0.006000,0.079333,1.396307,0.000000,1.000000,0.000000550
0.367957,-1.912000,0.006000,0.079333,1.396307,0.000000,1.000000,0.000000550
0.381942,-1.832667,0.006000,0.079333,1.396307,0.000000,1.000000,0.000000550
0.389500,-1.754750,0.006000,0.076500,0.000000,0.000000,1.000000,0.000000550
0.389500,-1.678250,0.006000,0.076500,0.000000,0.000000,1.000000,0.000000550
