central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.336449,-1.612250,0.004000,0.055500,0.000000,0.000000,1.000000,0.000000550
0.336449,-1.556750,0.004000,0.055500,0.000000,0.000000,1.000000,0.000000550
0.364949,-1.638000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.417949,-1.638000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.364949,-1.531000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.417949,-1.531000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.442449,-1.610250,0.004000,0.051500,0.000000,0.000000,1.000000,0.000000550
0.442449,-1.558750,0.004000,0.051500,0.000000,0.000000,1.000000,0.000000550
0.336449,1.544750,0.004000,0.055500,0.000000,0.000000,1.000000,0.000000550
0.336449,1.600250,0.004000,0.055500,0.000000,0.000000,1.000000,0.000000550
0.364949,1.519000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.417949,1.519000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.364949,1.626000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.417949,1.626000,0.053000,0.004000,0.000000,0.000000,1.000000,0.000000550
0.442449,1.546750,0.004000,0.051500,0.000000,0.000000,1.000000,0.000000550
0.442449,1.598250,0.004000,0.051500,0.000000,0.000000,1.000000,0.000000550
0.512279,-1.745000,0.003000,0.080000,0.000000,0.000000,1.000000,0.000000550
0.539779,-1.783500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.591779,-1.783500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.539779,-1.706500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.591779,-1.706500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.616279,-1.745000,0.003000,0.074000,0.000000,0.000000,1.000000,0.000000550
0.512279,1.735000,0.003000,0.080000,0.000000,0.000000,1.000000,0.000000550
0.539779,1.696500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.591779,1.696500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.539779,1.773500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.591779,1.773500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
0.616279,1.735000,0.003000,0.074000,0.000000,0.000000,1.000000,0.000000550
0.754279,-1.990000,0.003000,0.080000,0.000000,0.000000,1.000000,0.000000550
0.781779,-2.028500,0.052000,0.003000,0.000000,0.000000,1.000000,0.000000550
