central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
1.405750,-1.152350,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.405750,-1.057350,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.454500,-1.198350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.549000,-1.198350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.454500,-1.011350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.549000,-1.011350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.594750,-1.150850,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.594750,-1.058850,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.405750,1.047650,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.405750,1.142650,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.454500,1.188650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.549000,1.188650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.454500,1.001650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.549000,1.001650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.594750,1.049150,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.594750,1.141150,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.604500,-0.455350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.699000,-0.455350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.604500,-0.268350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.699000,-0.268350,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.744750,-0.407850,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.744750,-0.315850,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.555750,-0.409350,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.555750,-0.314350,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.604500,0.258650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.699000,0.258650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.604500,0.445650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.699000,0.445650,0.094500,0.003000,0.000000,0.000000,1.000000,0.000000550
1.744750,0.306150,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.744750,0.398150,0.003000,0.092000,0.000000,0.000000,1.000000,0.000000550
1.555750,0.304650,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
1.555750,0.399650,0.003000,0.095000,0.000000,0.000000,1.000000,0.000000550
