central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.910667,1.356200,0.015333,0.008000,0.000000,0.000000,1.000000,0.000000550
0.926000,1.356200,0.015333,0.008000,0.000000,0.000000,1.000000,0.000000550
0.941333,1.356200,0.015333,0.008000,0.000000,0.000000,1.000000,0.000000550
0.904000,1.366200,0.018000,0.011999,0.000000,0.000000,1.000000,0.000000550
0.922000,1.366200,0.018000,0.011999,0.000000,0.000000,1.000000,0.000000550
0.940000,1.366200,0.018000,0.011999,0.000000,0.000000,1.000000,0.000000550
0.910667,-1.360800,0.015333,0.008000,0.000000,0.000000,1.000000,0.000000550
0.926000,-1.360800,0.015333,0.008000,0.000000,0.000000,1.000000,0.000000550
0.941333,-1.360800,0.015333,0.008000,0.000000,0.000000,1.000000,0.000000550
0.904000,-1.370800,0.018000,0.011999,0.000000,0.000000,1.000000,0.000000550
0.922000,-1.370800,0.018000,0.011999,0.000000,0.000000,1.000000,0.000000550
0.940000,-1.370800,0.018000,0.011999,0.000000,0.000000,1.000000,0.000000550
