central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.277583,1.354000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.364000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.374000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.384000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.394000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.404000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.414000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.424000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.277583,1.434000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.354000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.364000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.374000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.384000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.394000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.404000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.414000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.424000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.286550,1.434000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.354000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.364000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.374000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.384000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.394000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.404000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.414000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.424000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.295517,1.434000,0.008967,0.010000,0.000000,0.000000,1.000000,0.000000550
0.303500,1.379905,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.303500,1.388997,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.303500,1.398088,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.303500,1.407180,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.303500,1.416272,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.303500,1.425363,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.303500,1.434455,0.007000,0.009092,0.000000,0.000000,1.000000,0.000000550
0.310500,1.398701,0.007000,0.008955,0.000000,0.000000,1.000000,0.000000550
0.310500,1.407655,0.007000,0.008955,0.000000,0.000000,1.000000,0.000000550
0.310500,1.416610,0.007000,0.008955,0.000000,0.000000,1.000000,0.000000550
