R,Z,dR,dZ
175.5,-1531.5,12,18
189,-1531.5,12,18
202.5,-1531.5,12,18
216,-1531.5,12,18
175.5,-1512.475155,12,18
189,-1512.475155,12,18
202.5,-1512.475155,12,18
216,-1512.475155,12,18
175.5,-1493.450311,12,18
189,-1493.450311,12,18
202.5,-1493.450311,12,18
216,-1493.450311,12,18
175.5,-1474.425466,12,18
189,-1474.425466,12,18
202.5,-1474.425466,12,18
216,-1474.425466,12,18
175.5,-1455.400621,12,18
189,-1455.400621,12,18
202.5,-1455.400621,12,18
216,-1455.400621,12,18
175.5,-1436.375776,12,18
189,-1436.375776,12,18
202.5,-1436.375776,12,18
216,-1436.375776,12,18
175.5,-1417.350932,12,18
189,-1417.350932,12,18
202.5,-1417.350932,12,18
216,-1417.350932,12,18
175.5,-1398.326087,12,18
189,-1398.326087,12,18
202.5,-1398.326087,12,18
216,-1398.326087,12,18
175.5,-1379.301242,12,18
189,-1379.301242,12,18
202.5,-1379.301242,12,18
216,-1379.301242,12,18
175.5,-1360.276398,12,18
189,-1360.276398,12,18
202.5,-1360.276398,12,18
216,-1360.276398,12,18
175.5,-1341.251553,12,18
189,-1341.251553,12,18
202.5,-1341.251553,12,18
216,-1341.251553,12,18
175.5,-1322.226708,12,18
189,-1322.226708,12,18
202.5,-1322.226708,12,18
216,-1322.226708,12,18
175.5,-1303.201863,12,18
189,-1303.201863,12,18
202.5,-1303.201863,12,18
216,-1303.201863,12,18
175.5,-1284.177019,12,18
189,-1284.177019,12,18
202.5,-1284.177019,12,18
216,-1284.177019,12,18
175.5,-1265.152174,12,18
189,-1265.152174,12,18
202.5,-1265.152174,12,18
216,-1265.152174,12,18
175.5,-1246.127329,12,18
189,-1246.127329,12,18
202.5,-1246.127329,12,18
216,-1246.127329,12,18
175.5,-1227.102484,12,18
189,-1227.102484,12,18
202.5,-1227.102484,12,18
216,-1227.102484,12,18
175.5,-1208.07764,12,18
189,-1208.07764,12,18
202.5,-1208.07764,12,18
216,-1208.07764,12,18
175.5,-1189.052795,12,18
189,-1189.052795,12,18
202.5,-1189.052795,12,18
216,-1189.052795,12,18
175.5,-1170.02795,12,18
189,-1170.02795,12,18
202.5,-1170.02795,12,18
216,-1170.02795,12,18
175.5,-1151.003106,12,18
189,-1151.003106,12,18
202.5,-1151.003106,12,18
216,-1151.003106,12,18
175.5,-1131.978261,12,18
189,-1131.978261,12,18
202.5,-1131.978261,12,18
216,-1131.978261,12,18
175.5,-1112.953416,12,18
189,-1112.953416,12,18
202.5,-1112.953416,12,18
216,-1112.953416,12,18
175.5,-1093.928571,12,18
189,-1093.928571,12,18
202.5,-1093.928571,12,18
216,-1093.928571,12,18
175.5,-1074.903727,12,18
189,-1074.903727,12,18
202.5,-1074.903727,12,18
216,-1074.903727,12,18
175.5,-1055.878882,12,18
189,-1055.878882,12,18
202.5,-1055.878882,12,18
216,-1055.878882,12,18
175.5,-1036.854037,12,18
189,-1036.854037,12,18
202.5,-1036.854037,12,18
216,-1036.854037,12,18
175.5,-1017.829193,12,18
189,-1017.829193,12,18
202.5,-1017.829193,12,18
216,-1017.829193,12,18
175.5,-998.8043478,12,18
189,-998.8043478,12,18
202.5,-998.8043478,12,18
216,-998.8043478,12,18
175.5,-979.7795031,12,18
189,-979.7795031,12,18
202.5,-979.7795031,12,18
216,-979.7795031,12,18
175.5,-960.7546584,12,18
189,-960.7546584,12,18
202.5,-960.7546584,12,18
216,-960.7546584,12,18
175.5,-941.7298137,12,18
189,-941.7298137,12,18
202.5,-941.7298137,12,18
216,-941.7298137,12,18
175.5,-922.7049689,12,18
189,-922.7049689,12,18
202.5,-922.7049689,12,18
216,-922.7049689,12,18
175.5,-903.6801242,12,18
189,-903.6801242,12,18
202.5,-903.6801242,12,18
216,-903.6801242,12,18
175.5,-884.6552795,12,18
189,-884.6552795,12,18
202.5,-884.6552795,12,18
216,-884.6552795,12,18
175.5,-865.6304348,12,18
189,-865.6304348,12,18
202.5,-865.6304348,12,18
216,-865.6304348,12,18
175.5,-846.6055901,12,18
189,-846.6055901,12,18
202.5,-846.6055901,12,18
216,-846.6055901,12,18
175.5,-827.5807453,12,18
189,-827.5807453,12,18
202.5,-827.5807453,12,18
216,-827.5807453,12,18
175.5,-808.5559006,12,18
189,-808.5559006,12,18
202.5,-808.5559006,12,18
216,-808.5559006,12,18
175.5,-789.5310559,12,18
189,-789.5310559,12,18
202.5,-789.5310559,12,18
216,-789.5310559,12,18
175.5,-770.5062112,12,18
189,-770.5062112,12,18
202.5,-770.5062112,12,18
216,-770.5062112,12,18
175.5,-751.4813665,12,18
189,-751.4813665,12,18
202.5,-751.4813665,12,18
216,-751.4813665,12,18
175.5,-732.4565217,12,18
189,-732.4565217,12,18
202.5,-732.4565217,12,18
216,-732.4565217,12,18
175.5,-713.431677,12,18
189,-713.431677,12,18
202.5,-713.431677,12,18
216,-713.431677,12,18
175.5,-694.4068323,12,18
189,-694.4068323,12,18
202.5,-694.4068323,12,18
216,-694.4068323,12,18
175.5,-675.3819876,12,18
189,-675.3819876,12,18
202.5,-675.3819876,12,18
216,-675.3819876,12,18
175.5,-656.3571429,12,18
189,-656.3571429,12,18
202.5,-656.3571429,12,18
216,-656.3571429,12,18
175.5,-637.3322981,12,18
