R,Z,dR,dZ
61,-777,10,10
73,-777,10,10
61,-765.9787234,10,10
73,-765.9787234,10,10
61,-754.9574468,10,10
73,-754.9574468,10,10
61,-743.9361702,10,10
73,-743.9361702,10,10
61,-732.9148936,10,10
73,-732.9148936,10,10
61,-721.893617,10,10
73,-721.893617,10,10
61,-710.8723404,10,10
73,-710.8723404,10,10
61,-699.8510638,10,10
73,-699.8510638,10,10
61,-688.8297872,10,10
73,-688.8297872,10,10
61,-677.8085106,10,10
73,-677.8085106,10,10
61,-666.787234,10,10
73,-666.787234,10,10
61,-655.7659574,10,10
73,-655.7659574,10,10
61,-644.7446809,10,10
73,-644.7446809,10,10
61,-633.7234043,10,10
73,-633.7234043,10,10
61,-622.7021277,10,10
73,-622.7021277,10,10
61,-611.6808511,10,10
73,-611.6808511,10,10
61,-600.6595745,10,10
73,-600.6595745,10,10
61,-589.6382979,10,10
73,-589.6382979,10,10
61,-578.6170213,10,10
73,-578.6170213,10,10
61,-567.5957447,10,10
73,-567.5957447,10,10
61,-556.5744681,10,10
73,-556.5744681,10,10
61,-545.5531915,10,10
73,-545.5531915,10,10
61,-534.5319149,10,10
73,-534.5319149,10,10
61,-523.5106383,10,10
73,-523.5106383,10,10
61,-512.4893617,10,10
73,-512.4893617,10,10
61,-501.4680851,10,10
73,-501.4680851,10,10
61,-490.4468085,10,10
73,-490.4468085,10,10
61,-479.4255319,10,10
73,-479.4255319,10,10
61,-468.4042553,10,10
73,-468.4042553,10,10
61,-457.3829787,10,10
73,-457.3829787,10,10
61,-446.3617021,10,10
73,-446.3617021,10,10
61,-435.3404255,10,10
73,-435.3404255,10,10
61,-424.3191489,10,10
73,-424.3191489,10,10
61,-413.2978723,10,10
73,-413.2978723,10,10
61,-402.2765957,10,10
73,-402.2765957,10,10
61,-391.2553191,10,10
73,-391.2553191,10,10
61,-380.2340426,10,10
73,-380.2340426,10,10
61,-369.212766,10,10
73,-369.212766,10,10
61,-358.1914894,10,10
73,-358.1914894,10,10
61,-347.1702128,10,10
73,-347.1702128,10,10
61,-336.1489362,10,10
73,-336.1489362,10,10
61,-325.1276596,10,10
73,-325.1276596,10,10
61,-314.106383,10,10
73,-314.106383,10,10
61,-303.0851064,10,10
73,-303.0851064,10,10
61,-292.0638298,10,10
73,-292.0638298,10,10
61,-281.0425532,10,10
73,-281.0425532,10,10
61,-270.0212766,10,10
73,-270.0212766,10,10
61,-259,10,10
73,-259,10,10
61,-247.9787234,10,10
73,-247.9787234,10,10
61,-236.9574468,10,10
73,-236.9574468,10,10
61,-225.9361702,10,10
73,-225.9361702,10,10
61,-214.9148936,10,10
73,-214.9148936,10,10
61,-203.893617,10,10
73,-203.893617,10,10
61,-192.8723404,10,10
73,-192.8723404,10,10
61,-181.8510638,10,10
73,-181.8510638,10,10
61,-170.8297872,10,10
73,-170.8297872,10,10
61,-159.8085106,10,10
73,-159.8085106,10,10
61,-148.787234,10,10
73,-148.787234,10,10
61,-137.7659574,10,10
73,-137.7659574,10,10
61,-126.7446809,10,10
73,-126.7446809,10,10
61,-115.7234043,10,10
73,-115.7234043,10,10
61,-104.7021277,10,10
73,-104.7021277,10,10
61,-93.68085106,10,10
73,-93.68085106,10,10
61,-82.65957447,10,10
73,-82.65957447,10,10
61,-71.63829787,10,10
73,-71.63829787,10,10
61,-60.61702128,10,10
73,-60.61702128,10,10
61,-49.59574468,10,10
73,-49.59574468,10,10
61,-38.57446809,10,10
73,-38.57446809,10,10
61,-27.55319149,10,10
73,-27.55319149,10,10
61,-16.53191489,10,10
73,-16.53191489,10,10
61,-5.510638298,10,10
73,-5.510638298,10,10
61,5.510638298,10,10
73,5.510638298,10,10
61,16.53191489,10,10
73,16.53191489,10,10
61,27.55319149,10,10
73,27.55319149,10,10
61,38.57446809,10,10
73,38.57446809,10,10
61,49.59574468,10,10
73,49.59574468,10,10
61,60.61702128,10,10
73,60.61702128,10,10
61,71.63829787,10,10
73,71.63829787,10,10
61,82.65957447,10,10
73,82.65957447,10,10
61,93.68085106,10,10
73,93.68085106,10,10
61,104.7021277,10,10
73,104.7021277,10,10
61,115.7234043,10,10
73,115.7234043,10,10
61,126.7446809,10,10
73,126.7446809,10,10
61,137.7659574,10,10
73,137.7659574,10,10
61,148.787234,10,10
73,148.787234,10,10
61,159.8085106,10,10
73,159.8085106,10,10
61,170.8297872,10,10
73,170.8297872,10,10
61,181.8510638,10,10
73,181.8510638,10,10
61,192.8723404,10,10
73,192.8723404,10,10
61,203.893617,10,10
73,203.893617,10,10
61,214.9148936,10,10
73,214.9148936,10,10
61,225.9361702,10,10
73,225.9361702,10,10
61,236.9574468,10,10
73,236.9574468,10,10
61,247.9787234,10,10
73,247.9787234,10,10
61,259,10,10
73,259,10,10
61,270.0212766,10,10
73,270.0212766,10,10
61,281.0425532,10,10
73,281.0425532,10,10
61,292.0638298,10,10
73,292.0638298,10,10
61,303.0851064,10,10
73,303.0851064,10,10
61,314.106383,10,10
73,314.106383,10,10
61,325.1276596,10,10
73,325.1276596,10,10
61,336.1489362,10,10
73,336.1489362,10,10
61,347.1702128,10,10
73,347.1702128,10,10
61,358.1914894,10,10
73,358.1914894,10,10
61,369.212766,10,10
73,369.212766,10,10
61,380.2340426,10,10
73,380.2340426,10,10
61,391.2553191,10,10
73,391.2553191,10,10
61,402.2765957,10,10
73,402.2765957,10,10
61,413.2978723,10,10
73,413.2978723,10,10
61,424.3191489,10,10
73,424.3191489,10,10
61,435.3404255,10,10
73,435.3404255,10,10
61,446.3617021,10,10
73,446.3617021,10,10
61,457.3829787,10,10
73,457.3829787,10,10
61,468.4042553,10,10
73,468.4042553,10,10
61,479.4255319,10,10
73,479.4255319,10,10
61,490.4468085,10,10
73,490.4468085,10,10
61,501.4680851,10,10
73,501.4680851,10,10
61,512.4893617,10,10
73,512.4893617,10,10
61,523.5106383,10,10
73,523.5106383,10,10
61,534.5319149,10,10
73,534.5319149,10,10
61,545.5531915,10,10
73,545.5531915,10,10
61,556.5744681,10,10
73,556.5744681,10,10
61,567.5957447,10,10
73,567.5957447,10,10
61,578.6170213,10,10
73,578.6170213,10,10
61,589.6382979,10,10
73,589.6382979,10,10
61,600.6595745,10,10
73,600.6595745,10,10
61,611.6808511,10,10
73,611.6808511,10,10
61,622.7021277,10,10
73,622.7021277,10,10
61,633.7234043,10,10
73,633.7234043,10,10
61,644.7446809,10,10
73,644.7446809,10,10
61,655.7659574,10,10
73,655.7659574,10,10
61,666.787234,10,10
73,666.787234,10,10
61,677.8085106,10,10
73,677.8085106,10,10
61,688.8297872,10,10
73,688.8297872,10,10
61,699.8510638,10,10
73,699.8510638,10,10
61,710.8723404,10,10
73,710.8723404,10,10
61,721.893617,10,10
73,721.893617,10,10
61,732.9148936,10,10
73,732.9148936,10,10
61,743.9361702,10,10
73,743.9361702,10,10
61,754.9574468,10,10
73,754.9574468,10,10
61,765.9787234,10,10
73,765.9787234,10,10
61,777,10,10
73,777,10,10
